business_name,review_id,user_id,stars,review_date,review_text,funny,useful,cool
Tavern Americana,YUeMWkd7Foact1Bd_rmNkQ,xFFmQTr0srCsnXiupIXT2A,5,2012-10-24,Great food and atmosphere.  Plenty of TVs to watch the games.  Chef Patrick Fegan and his partners of TK Urban Tavern in Scottsdale Quarter just opene,1,5,1
El Ranchero Restaurant,b8qXxdXo9NFQ79xQ565vwg,zNjguoWpQ5vmHq0q5uvJGg,4,2012-11-20,"Ate there yesterday (11/19/12) and had a great lunch after getting confused, direction wise as to its location. It's a couple blocks West of town Junc",0,1,0
Chill,D8ahA2oMZr5cHy75QTgt4w,goOcTbMYD-eD12YlsagPyg,5,2011-02-26,This place is great! I love their mint chocolate chip yummmy! They have a bit size cup for 2.99 and it always gets loaded up love it!,0,0,0
Gelato 64,-9VmcWlqMIlbGBhRnJdWZg,w6r1V9eOsGrebp2LbpcNzQ,2,2010-03-06,"This was my first and last time here. I got the Vanilla Bourbon gelato. It was overpriced, and old. It was not creamy, but had started to turn icy. I ",0,0,0
Hue Gourmet,DUlKGNKFCZwwEUTb77t6-w,pwCifXXtt2Mzt_CPLpUC2Q,4,2012-02-20,"One word: Authentic! I love Hue food and this place pretty much has it all. I tried their bánh bèo chén, bánh kht and bún bò. The bún bò would be perf",0,1,0
Distrito,uOa3TdnSsyxBmtk-DLgMAw,AOmdmYYSeLUstcN084_wMA,4,2012-03-31,"This place is located in the hotel at the corner of Drinkwater and Indian School.  I can't remember the name, because it changes ownership ALL THE TIM",1,3,1
5th and Wine,PV_1hilY2cb0oi256ghXzA,EDyJnySlK3Zq1jJjUoRWJQ,5,2013-10-03,"This place is amazing. I come here at least once a month & am never disappointed. 
Food & service is always great. The buffalo burger it TDF as well ",1,1,1
Scramble A Breakfast Joint,KETr5UiBNvFX9xSxX5aHqw,XrD_RUiFeKsQ63WL3l_crQ,5,2010-10-04,I read about Scramble on line so I thought I would go there for brunch and I loved it!! The Santa Fe eggs Benedict are amazing! The staff is friendly ,0,2,1
Drift Lounge,V82DIXQ5MVCYZu72QiOr-w,cl1LMRfak6gR3vqsEzRtHQ,4,2006-08-06,"UPDATE: Ach du lieber! The other day, change came to town and made me cry. Drift no longer carries Sierra Nevada. An ugly, ugly thing, I know. At pres",1,2,0
Fujiya Market,gCbhfkYWx6k9kI2ReqUNjw,6yQ3xyfor5TtX1POugtTag,5,2009-10-22,"I Love LOVE this place- and while I currently live in Chicago next to the Baron of Japanese Markets- Mitsuwa, I love this place even more. Although it",1,1,1
Defalco's Italian Grocery,gdkfi-giaTU9kQGfwqml2w,fczQCSmaWF78toLEmb0Zsw,4,2008-10-25,"Aside from the wait to order and the other wait to get your food, Defalco's rocks!  I was there for a late lunch on Friday and I opted to forgo my usu",2,7,8
Sweet Tomatoes,KTNMLRjb7LTDcuW_IhBPDQ,TvtARzzT8bvPKLiLEeMIHw,5,2013-10-11,I thought this Sweet Tomatoes was brand new when I walked it.  Very Clean and everyone was friendly and attentive.  The staff at this location are a c,1,1,1
Which Wich Superior Sandwiches,g8Mv_qpMY0VRFULzZWdsWg,esomNneHvsEv91MmraM5ug,5,2010-02-08,"Why is everyone else writing their reviews on the listing on Hanna?? Wrong address peeps!
So I had been wanting to eat here for a while, but everytime",0,1,0
San Felipes Cantina,skSINztqPKM-T_1JxOhGVA,_tH9ttWZNQjr7KaUVp2fXQ,2,2010-05-09,great bar.... not great food.  ****but it's cheap****  this is a great location and really cool atmosphere. just don't go in expecting very good food.,1,0,0
Gordon Biersch Brewery Restaurant,WF-MyenfDFfgO2OvvM3f_Q,Kqvfep2mxS10S50FbVDi4Q,3,2010-06-13,Stopped in here for lunch the other day.  I ordered the Marzen barbecue chicken sandwich with garlic fries.  The sauce on the sandwich was good but th,0,0,0
Phoenix Public Market,j4APoHZFTytwOjGsFwXyTQ,MwJVSTsUB-htphNZaIC43g,4,2008-03-22,I was watching the news this morning and they were doing a segment on the downtown market. I hand't been since last fall and being that I live insanel,0,6,3
TownePlace Suites Phoenix North,c5S8F9s-V4w2BGrudgVPsQ,rYGZwz6OV09vZ7YzqrZ-HA,2,2009-08-03,"Compared to the last two Marriott's we were at this week... not good. I will say, for the record, that they were great when we got a gross room (switc",0,2,1
Gelato Dolce Vita,J8_lcJU-Fmebtl-1WHOTTQ,1_na8oNG_KqK622DDyRwtw,5,2013-05-13,"My boyfriend and I decided to take his son out for gelato yesterday, and after seeing the reviews on this place, we decided to try it. I purchased the",0,2,2
Mystery Mansion Dinner Theater,IumP6ugbepbFu6qv3Cw47g,DvD2kL3UiPM7iDQ5BC9ViQ,5,2011-08-25,I can honestly say this is the most I've laughed at a dinner theatre! The cast is witty and very funny! I have seen two of their shows now and always ,1,0,0
Joe's Real BBQ,zVafyP7Qoyab5jH2ziAe0A,5UJ0tdHGPJGL3lBLEAerRw,4,2013-10-04,"A very kid friendly place to have a BBQ meal. You order your food as if you were in a cafeteria setting. You grab a tray, grab your drinks, and go up ",0,0,0
Best Buy,ayrzyocEM7AtVdc6xE2Paw,nc3cqVN0UuB3m50-CcMftw,3,2009-03-18,"I've never really had any problems/issues coming to this Best Buy and I will admit that my rating is largely due to the Geek Squad, whom I positively ",6,7,7
Seamus McCaffrey's,kiXR40xr9y4RN1_pMKa5IQ,Ry48Bta6spNowOkiMNC_xg,3,2013-10-23,"You can eat and drink as Irish as you please -or not, here.  A diverse menu, fresh, tasty food, good service.  A classy bar, a great place for St. Pad",0,0,0
Butterfly Wonderland,9aIyhnADh4aKpT3fmhFitw,zdPRXhhJNCiCOgWQwoPlpg,4,2013-08-19,"What a unique experience for kids, not so much boys so thankfully I got a girl to share this with. Brand new state of the art facility, so I'm assumin",0,1,0
Paradise Hawaiian BBQ,6g8R8-3dKuAZ6C5feQoeeQ,WDcCV1BRQ9jlxMNL2zjMbw,5,2011-08-17,As a local boy from Hawaii I made it a quest to find a place that reminds me of home and after living in Phoenix 4 yrs now.....I finally found a place,0,2,0
Euro Pizza Cafe,WFovWfst7GsbH6W_PBRD1Q,WozD8e087LDylHUqoMaeig,4,2011-06-18,"Um, YUM! We got the garden salad - very fresh. We also got the pizza with avocado, olives, etc. VERY good. The dough is soooo yummy and you can tell t",0,0,0
Lin's Grand Buffet,uez301rxUF4KETJLSvz_wQ,JPwN2CgjNap0mkIvXx9vOg,3,2011-02-23,"Very nice place, new and clean. Food is just OK. Typical Chinese buffet food, nothing new. Price is fair.  Sushi doesn't look like sushi at all.",0,2,0
Corner Bakery Cafe,V2XvyTRy_K5SwXP64lhtuw,RtuX0lzQ_IGBTFRurnLsBg,5,2012-05-10,Ever been somewhere and had service that just made your morning?  A Chinese couple sat down at the booth next to me.  The server came up with their fo,0,3,0
Tom Yum Authentic Thai,bTq1WHEbzLn-NKyxr4Qldg,6G8vLJUi1Ees2qC3RGA3Nw,3,2012-11-21,"Went here on opening day - didn't know if they'd be open yet or not, but the wife had a craving so we decided to check. Front door was wide open. Nice",1,2,0
Paradise Bakery,Dv2aK0Me2o8c6jr2WZb5Mg,T7J9ae0wTskrI_Bgwp-4cA,2,2008-05-01,I try to never eat here.  The food is bland and overpriced.,0,0,1
Hitching Post 2,qrnnDR_s3RqJQXFLUrHNpg,6EIFOE5S7mJUQbxZaP7Xxg,2,2013-02-02,We just moved to gold Canyon a few months ago and are year round residents. We frequent the many small businesses in the area.  My wife and I had dinn,0,2,0
Cousins Subs,YSETxI4KpNkbU6uTF6tlxw,TJRBA15ziLkf5chQrCrzHA,3,2013-11-04,This was my first trip to this brand and it was very pleasent.  The staff was friendly and greeted me warmly as soon as I walked in.  I ordered two of,0,0,0
Weather & Coffee,xVt7R-T_317Xi8WUCbgUsQ,rPGZttaVjRoVi3GYbs62cg,4,2008-06-13,"Dear Weather & Coffee,
I'm really sorry you had to close.  We had a lot of good times together.  Every time I came in, you always seemed really happy",5,5,4
Nee House Chinese Restaurant,YOPFtEpe8pPzOeuAcJEkNA,xtE_rVyiyfZWWBojkcme7A,4,2012-06-02,"The best Chinese food in northern Phoenix, and maybe in the entire metro area.  Heck, my wife and I have sampled the Chinese cultural district as well",0,1,1
Whitey's Auto Repair,v8k02wS7dkb6hGdovG8r9w,VU2c835liKaSfE5Wl9Vj8A,5,2012-12-21,"For the past year and a half, I've had Whitey's service my car whenever something wasn't under the Infiniti warrantee.  And I'm nearly giddy that my w",0,1,0
Beverly Hills Hand Car Wash,j8Y2DTK1P0A8CM36m1cMzA,EoTooNBcxu0Hy0-XeZI8aw,4,2008-09-26,I took my little car here because I've gone through 2 antennae losses while taking my car to other car washes...and replacing my antenna is NOT cheap.,2,3,2
The Arrogant Butcher,J-3u8DN0-XXerbS_68Mmbg,uZbTb-u-GVjTa2gtQfry5g,4,2013-02-23,"A nice place for happy hour!  After watching a lovely show at The Orpheum, we were feeling quite peckish, so we headed over to partake in the discount",0,1,0
Postino Arcadia,Nmggr0nm4vPu3AXFYivKyA,1yWUlQIerdZ5MEcDjK-LXQ,5,2009-07-08,"When I had mentioned to my girlfriend I had never been to Postino's she said, REALLY???  Well then you are in for a treat.  She wasn't kidding!  Who s",0,1,1
Sushi 101 Japanese Restaurant,DfLTviaIv8mbuEIsTTOGIw,X7GWcLeCbLMsJbktECmKVA,2,2013-07-25,"This place wasn't horrible by any means, but it wasn't ""A-ok"" as a 3 star review suggests. It was ""meh"". The sushi was ok. The service was fine. The a",0,0,0
Manuel's Mexican Restaurant,IS8ago2UOx6fDEyPmSJ9Fg,vwLmvuSyt2qervMRFennHw,3,2013-10-04,We called ahead and made reservations because we had 10 people in our party for dinner.  We all arrived at 7:45 pm and or table was ready and waiting ,1,4,2
Brio Tuscan Grille,0VRO6LRMMUi0MP4BaOeAUA,uPjX0JfKDSk0jHTIuikDxg,5,2012-03-18,I love this place. I've eaten here a few times now and there is not one thing that has not been above standard. When ever we are not sure where to go ,0,0,0
Indian Delhi Palace,eFjhTKsY32budYE462QQOw,NsIoM2PlaL28E-jbrs4Zlw,4,2010-09-27,It was our first time here so we had to have the defaults to judge the quality.  Everything was well prepared and spiced well.  You can actually taste,0,0,0
Tasty Kabob,z0xoOp-0wd9kAjkC0m8kIA,m7vtKWpZ9wdEQ95wJxrMrg,4,2009-09-02,"While the name of the place which seems to imply that this is a run-of-the-mill Middle Eastern food place, its far from that. It's a cozy, elegant (no",1,3,2
Let It Roll Bowl & Entertainment,Cc2bL4li7bKjWphgp2Fchg,zLFHN0QjejVYSggwRlG2vQ,5,2013-08-05,We all LOVE Thursdays with Debbie at the bar!  She is a keeper!,0,0,1
Fairmont Scottsdale Princess,pmXF1ajhiMietpARXXX-iw,PBdpLP3yMHV79Y7EjuBY4g,1,2010-11-25,"We went for the Thanksgiving Brunch at the LV Bistro. I was excited, it included tasty food from all of the Fairmont's restaurants. But after the expe",0,0,0
Zipps Sports Grill,ykAsOAe66a9j9YFq4hd2WA,XbLef5Dmhw87DZGO5KvtbQ,3,2013-09-24,"Oh my gosh - the food took foreeever.
Doug, our waiter, was very attentive when we first arrived.  Got the drinks, walked by and smiled a couple time",0,0,0
Sunshine Convenience Mart,3F4LcMuwrggTskKklhb4sQ,C5n3mHkxJzZbmQ_bKRQQug,5,2012-07-02,Great Store. Competetive Prices. And super good selection of beer for a smaller store.,0,1,1
FEZ,k3SRVVjnkbw6J86RI-gL-Q,DfxzHI4TjGTUuFELonH5wA,4,2013-06-09,"I come here quite a bit, as it's one of the only places open late that serves both food and drink during the week.  They have great cocktails and I am",0,0,0
Pita Heaven,FL42qXAEMAc7uBYxB3SUoQ,j9RfgsHE15SZF9qxQ7IFow,5,2011-09-25,"Awesome place. Friendly staff, heavenly good pitas, fresh ingredients, and fast service. What more can you look for? They have 10% cards for th new cu",0,2,1
Eyecare Plus Scottsdale,SZqdedqpfMLtS4HH3_W8gw,JVH7vi_JJDBvRCicjbqxzQ,5,2013-06-07,"great place to go!  i was able to get a same-day appt and the doctor was so nice and great  at what he does, i'd definitely recommend.",0,0,0
Spa Avania,clHSNSyfHE83FmQkfLAkvQ,fn1TYXMG0_sE28xzMTHsAQ,5,2008-08-05,"This is one of the nicest spas I have ever been to.  I went here for the first time several years ago, before the remodel, and it was way smaller and ",2,3,1
Rubio's Fresh Mexican Grill,TJp1uLuUSNDRj4THM9r0zA,KJDymAcoPiW_vuqthGxfpQ,4,2013-09-24,"Made a quick lunch trip to this location.  Had the Coastal Trio, which was very good.  The atmosphere has a beach vibe and was very clean and organize",0,0,0
Barro's Pizza,LkFJ62QTzunUjn7UMhz58w,H-Bt-AOp1tVAVitLoAQQlA,4,2011-02-19,"my husband LOVES this place for pizza.  we often get the pizza and wings deal that there are coupons floating around for, especially when we have fami",0,0,0
Pong Pong Restaurant,UwA6GcPrYKc29s2273VFBw,hg6aYzPZJMj-K_fTZ-ccXQ,4,2011-09-19,"Whenever I am in the mood for quick, easy, and tasty Chinese delivery Pong Pong is my choice.
The portion size for the price is always excellent.
Th",0,0,0
Hob Nobs Cafe & Spirits,BArcyDITvBmLuE-v83SJLA,ZrUZtLgLOn15v2NIZl-oKQ,3,2008-11-18,I'm so glad this corner has been revived again--though I never got to try Willo House. The biggest plus for me is that this place is only like a 7-min,1,4,2
Gordon Biersch Brewery Restaurant,avwF0OJFhNxu-s95JDhS7A,ZAXpsNT5fi4csd86AXVqPw,1,2013-09-15,Got food poisoning off a simple Caesar salad. Worst food poisoning I've ever seen. When my boyfriend called to inform the manager he didn't seem to ca,0,2,0
Domino's Pizza,r6iLEkJu-W_u1dzxyeKhzg,7C-jyTrOX-iJ-MrSJuh-8A,3,2011-05-26,I obviously can only give a Domino's a 3 star rating or else what would you think of me? but seriously Domino's is at least edible after decades of be,2,1,0
Pita Jungle,-wWYpjApP-qDlGnyFOmdqg,BiZvuNKi0bs_YwttHhhq4w,2,2013-10-24,"I don't like to review chains normally but this place really pissed me off. 
Boyfriend and I like eating at the one near our house and a co worker li",0,0,0
Valle Luna,V3w_EWnnqjb9xHsiJvWLcw,9bP3urjM__IP5csFh9ZsuQ,3,2011-06-10,Average mexican restuarant which has a lot of retired clients due to specials (buy one get one free) type.  Place is always packed but not because of ,0,0,0
United States Post Office,rIc4XzpphqGIsyle1YpW2w,hn_DclKLzdxABRGGAuqKgg,3,2013-10-03,"For a post office, this location is pretty good. I've been a few times and even when there's a line, the wait isn't too bad. Getting there early helps",0,0,0
Wildfish Seafood Grille,syhfLJoixB56bD1HQOlH2Q,phc7lq8JtH_jVPac81K-eg,4,2008-05-27,"Had a salad and wife had tuna poke and it was really good.  The poke wasn't anything like in Hawaii, but above average.  For dinner I had the Seared A",0,3,2
Havana Cafe,73pOfz80_JJi5TGop4ADaw,1S7XdhbZWR17Wy4TBsIzaw,4,2007-07-11,"Okay...so it was my first time having tapas, and it really makes me want more.
One star for service
One star for atmosphere
Two stars for delicious m",0,3,2
Furio,TQZbCTu8KmDFdoXNlxgZCw,mfvezpz6ohS0NQk3DZdvqQ,4,2006-09-09,"A final stop for last call after enjoying a late night tapas, I was surprised by how small this place is compared to the other lounges/bars in oversiz",1,3,3
Golden Buddha,I7wxA8sjH9B5_4tTr5cNyQ,Z3qVl-1JgYnAe4py6VC5ug,1,2010-01-09,"First of all, I visited this place many times in the past many years. They used to be a great place to have dim sum. I was never so disappointed like ",0,1,0
Four Peaks Brewing Co,KDcocQUuJ2dOOzHzIN5DFA,OaQSXppf6ftR9Rfb4oiTNg,5,2011-03-13,"After my experience at Papago Brewery, I now spend my time at Four Peaks any time I am in the mood for a good beer. I like their Arizona Peach Ale and",0,1,0
Wildflower Bread Company,mOPbIPjXng-Il0L1Byi9SQ,4jJYQAVMAQQUMOa__mMTbw,5,2013-09-27,"Great selection of  bakery items, sandwiches, pasta, salads and breakfast items.  Everything is tasty and fresh.  Order at the cash register station, ",0,1,0
Sweet Cakes Café,Iobf5DV8m5KYe278BtMB4A,x0r-IamYgKMgF3v7tJ_PTg,3,2011-04-09,"we stopped here after a trip to the so called ""museum of natural history"" and i was only slightly impressed. on saturday's they offer a ""buy two cooki",0,0,0
Matt's Big Breakfast,1ufAxa3ud7rOznrmaEcIeg,3SBuKi-hdsEoZziJmU6ScQ,5,2009-01-05,"Yes, I will admit that my family watches Triple D.  Now with that said my wife and I have been to a few of the joints showcased on that show.  As many",0,1,0
RigaTony's,9dP3blCmQaac0kUP__LM5Q,i4dYFyRoskak-jt0NHtOSw,4,2012-11-05,One of my favorite italian restaurants.  I'm convinced I can survive on their antipasto salad and cibata alone.  I always switch back and forth betwee,0,0,0
Inizio Salon,3cAfmiQjSf_5EkquZhtzdA,VnIR7hgjrGTyKLDcL_4oHw,5,2012-10-24,I have been getting my hair cut & colored by Mia for years.  She is the most cheerful down to earth person you'll ever meet.  I am picky when it comes,0,0,0
IHOP,oD35257G_pE-bvYBlK5KrA,iBO2m9xXivsIbvFnZHsNvg,2,2009-12-25,"Went here on Christmas day after church just to try it out. Food is what you'd expect, nothing special, nothing horrible. But, the service was atrocio",2,3,2
Olive Garden,Y7etRGF867cp4iM4qbeHfA,31OZmHva7Q0dTNqpM4TKug,4,2014-01-02,"It's a garden, with olives, what is not to like?
I can not comment on this particular locations entree's, because i keep coming back for the famed SO",0,1,0
Flavors of Louisiana,Rwr0-QK5IKBCfmRUsQj19g,TjIdgF0r4IUIEvMTYopfUA,5,2012-10-07,Mmmmmm mazing... Fried alligator po boy! Best service! Staff is friendly! Great environment! I love it!,0,0,0
Hong Kong Gourmet Buffet,lo9MO2-wC_6Z2Apq1kRKow,wFweIWhv2fREZV_dYkz_1g,5,2011-01-17,"This is my favorite buffet in all of Arizona!  
It's really clean bright inside, rare for buffets.  My favorite things are the little sushi bar, crab",1,5,2
Old Town Tortilla Factory,ndunKxbRi8T_hc-HsBjyVA,3qQdQ1Wf2L2ZeGMQO5b1kQ,5,2010-07-24,I can't believe the 3 out of 5 ratings. This place rocks. 4 different meals...all boss. I promise you I have no affiliation to the place.,0,0,0
Dragon Chinese Restaurant,578YZFjNKRwmiOohRKv4iw,LAqD15GLcUOMh8CLqTXLgA,5,2013-08-10,Decided to switch up my usual location. Never had it before with past owners but food was fresh and flavours were amazing. A little pricy but worth th,0,0,0
Cornish Pasty Company,Ctl0k2T6xxK1-vS4oHJ3Iw,EoTooNBcxu0Hy0-XeZI8aw,3,2009-08-19,"I've been here once a month since my return. The first time was in June...I met up with a fellow gamer (geek alert...yes, I do play an MMORPG and no, ",3,3,3
A Better Grooming,SQe0XmT8swBPiKaf31w7kw,VnOtsJ2514YIAd0fM2O8oQ,1,2011-05-14,"I have had two bad experiences. Call me stupid, but I'm trying one last time to support a local business. We'll see how it turns out. Check back. No d",0,0,0
Golden Spoon Frozen Yogurt,l6uYOQG8LebkAgz31wOM5w,CQVPwymzvS01Re6O4DATGQ,4,2007-11-06,I actually found this while trying to find the now defunct Maggie Moos on Warner near Val Vista.  During my quest I found this little place.  I though,0,1,1
Sprinkles Cupcakes,HbMklA5YiJSrERGYykaUNQ,WCBz-xTApNh4u1VA_HKNLQ,3,2009-01-28,5 stars for the concept itself (bringing a cupcake store to Scottsdale) and the bright airy store environment. I am totally not a big fan of sweet so ,0,0,1
Camden Copper Square,PLnhkNvv8FFIYjTqDzXimw,SBbftLzfYYKItOMFwOTIJg,2,2008-07-02,"The Williamson Gang is a band of gypsies, so it's no wonder that we tend to move a lot: it's the way of our people.
I lived at this complex a few yea",1,3,2
Cornish Pasty Company,if7SqyO6ukkDDnnj79TJhA,3A2H2IfNWSOC4Gn9fQub4A,4,2010-10-19,Yummmmm!  I've loved every pasty I've tried and always bring out-of-town guests here.  My favorite is to sit at the bar (especially during lunch time),0,0,0
Biagio Nail & Spa,37SSL14MtJx3y5v81-H8pQ,EAJjMgKIjiaVb_2Q9ROeCQ,5,2012-03-02,So glad I stopped in here! Was a last minute check in after I found out I was released from being on call all day! In need of a pedi bad and this plac,0,0,0
Flaming Kabob,5_rBomfohEVDMQptw1bVow,shkIZbeKBq1Wdp5hDHUC9Q,5,2013-03-17,"How come it isn't in Trip Advisor? Excellent shawarma, and, surprise, the ""flan"", a southamerican desert, is the best in the valley.
Great service, l",0,0,0
Su Vino Winery,c9V5436xpRVWvL0eovXiKA,rBeuXzsBkGxM5pJujH2zAQ,4,2010-07-01,This place is great! We sat at the bar and tried the Summer Wine flight. Summer Rain was my favorite. Super light and crisp. Very refreshing! I defini,0,1,0
True Food Kitchen,VeVesKZsKYasIBEA5iKRkQ,2rawUU9YgDUy9mTXj5NuSw,5,2013-07-26,"Obsessed.  Ambiance is great, service also great.  The menu freakin' rules my life.  The beverages are always fun, and delicious.  I had something wit",0,0,0
Modern Burger,t0Mx-y5j-TSRa0H8KA1X0Q,-XkW4sYeXhvfoUXvTUL-gg,3,2014-01-24,Great burger for an airport locations.,0,0,0
Barro's Pizza,nBJghq2iv37TkqKYcw_xQw,PnEAXZ7WyJMYBr9IIulh5Q,4,2011-02-23,"Barros. Barros. Barros. You hungry yet? You better be if you're ordering from here. This is very thick pizza. Lots of bread. Totally worth the money, ",0,0,0
Paradise Bakery and Cafe,yy2DcWTRcBIn--zXD6nmOw,tA9EwCwdYw3sAMxvrONvaA,1,2012-12-04,If there was an option for no stars I would have given that. Everybody in here was rude today and just seemed like they had something better to do. I ,0,0,0
Yogurtland,NHlp55ojf-V-grObZyLpHg,y3zB8c2IUov0P8A2SMwrng,?,2010-05-04,I went here with a friend after hiking Camelback. I have never been into the idea of frozen yogurt but Yogurtland changed my mind!! It rocks! This pla,0,2,0
Inza Coffee,BEYpgfJJP19AIEJnY1k3jw,jfXT_8J_EQnJVa4sJ3z6hg,5,2007-11-13,"Oh this place was far from where I was at.  The problem with Phoenix is that every place seems like it's located in a strip mall, and there are tons o",0,2,1
DRL Outlet,xyBADWum3sACsxY5-PyDLg,N3bri-C_pZ-rvY6FSYeZCw,3,2013-11-02,"Hmmm....this time not such a good trip...large selection, but a piece of this and a dented that....not really much from which I can choose.
Funny, no",3,9,4
Pork on a Fork,g0y3fFNF0uHC4MNGOqAM2w,sxc1NzZ3pJKUfHquGkF_bQ,1,2013-10-29,"So disappointing. The most disappointing part was the service. It was fine that they didn't have ribs, but the cashier was deliberately unhelpful and ",0,0,0
Chipotle Mexican Grill,KUht2k9SX0y2qzbDl0R9Cg,qZrArI2ohkYkQlELl13BKQ,5,2011-03-01,"Chipotle. Fast. Healthy, or not (depending on what you're in the mood for). I love the consistency of service and quality across locations. I grew up ",0,0,1
Cave & Ives,iUzE4q3f4bYYKsmPAPmRdA,UeVMJNbo3TE9mqKAT5z2Fg,5,2011-05-12,Like no other place in the neighborhood! This colorful little restaurant really stands out in Arcadia. The patio is just plain WOW!!  Hanging out at t,0,3,1
Forefathers Gourmet Cheesesteaks & Fries,iDE7Y_8wBiHWEQo5NXXhuQ,MnDHJvePh4cWMrBgOp0_Ig,4,2013-03-27,This place has a pretty good cheesesteak. Now I am sure someone from Philly would probably lynch me for even thinking that but I said it. It's not the,0,5,1
Miele's Italian Bistro,4nCggbAzCqxmhFfIlV5xdg,frghFlB-N4Prhna-wu5sbQ,4,2012-12-03,I live right behind Miele's and finally got around to trying it. I just called for take-out (which is the reason for the 4 stars and not five... I fel,0,0,0
Tommy V's Urban Kitchen & Bar,-zYzuwaA2Xi-Y85DFUUTIg,XAEQyL2pnwEFZgtWN2nTEg,5,2012-06-11,"Dinner last night was my first visit here and it totally rocked!  The risotto with shrimp is a ""must have"" if you're a shrimp or risotto fan.  My frie",0,0,0
Pomo Pizzeria Napoletana,WweTu235kEIF38Yz4zZiBA,ejryAB9YznYMmL4kL5TwMw,2,2013-09-06,Was back in town and a friend suggested pomo again. This time it was plain bad. The pizza came out fast but it tasted too salty and the tomato sauce w,0,0,0
Rita's Ice Custard Happiness,3-38ngt0G1HE21VAT-NgLQ,pEVf8GRshP9HUkSpizc9LA,5,2012-11-04,So excited that Rita's has finally come to the Valley!  I grew up on Rita's in PA and always thought it would be a hit in the Valley since we have yea,0,0,0
